user_id	venue_id	type	utc
195766	4e90e52c6c25abdcf4e52ff9	Italian Restaurant	Tue Apr 03 18:03:53 +0000 2012
13890	4e90e52c6c25abdcf4e52ff9	Italian Restaurant	Fri Apr 20 17:17:21 +0000 2012
62932	4bf5564c354e9c74ebe22602	Wine Bar	Tue Apr 03 18:09:26 +0000 2012
193653	4bf5564c354e9c74ebe22602	Wine Bar	Tue May 08 16:45:57 +0000 2012
125471	4bf5564c354e9c74ebe22602	Wine Bar	Fri Jul 06 19:06:14 +0000 2012
18070	4e3f9f75d164b52911c8dd16	Electronics Store	Tue Apr 03 18:13:57 +0000 2012
13413	4e3f9f75d164b52911c8dd16	Electronics Store	Wed Apr 04 09:30:31 +0000 2012
87625	4e3f9f75d164b52911c8dd16	Electronics Store	Sat Apr 07 16:31:09 +0000 2012
248160	4e3f9f75d164b52911c8dd16	Electronics Store	Tue Apr 10 08:27:31 +0000 2012
3836	4e3f9f75d164b52911c8dd16	Electronics Store	Thu Apr 12 18:46:03 +0000 2012
186170	4e3f9f75d164b52911c8dd16	Electronics Store	Sun Apr 15 13:59:08 +0000 2012
126870	4e3f9f75d164b52911c8dd16	Electronics Store	Tue Apr 17 14:44:53 +0000 2012
58939	4e3f9f75d164b52911c8dd16	Electronics Store	Sat Apr 21 12:37:16 +0000 2012
118260	4e3f9f75d164b52911c8dd16	Electronics Store	Sat Apr 21 13:48:52 +0000 2012
259514	4e3f9f75d164b52911c8dd16	Electronics Store	Sat Apr 21 13:50:37 +0000 2012
115864	4e3f9f75d164b52911c8dd16	Electronics Store	Tue Apr 24 12:00:31 +0000 2012
117598	4e3f9f75d164b52911c8dd16	Electronics Store	Thu May 10 16:20:34 +0000 2012
73637	4e3f9f75d164b52911c8dd16	Electronics Store	Fri May 11 11:13:03 +0000 2012
23611	4e3f9f75d164b52911c8dd16	Electronics Store	Sat May 12 14:16:45 +0000 2012
46421	4e3f9f75d164b52911c8dd16	Electronics Store	Sun May 13 08:22:06 +0000 2012
27011	4e3f9f75d164b52911c8dd16	Electronics Store	Fri Jun 01 10:30:28 +0000 2012
1858	4e3f9f75d164b52911c8dd16	Electronics Store	Fri Jun 01 10:44:24 +0000 2012
1531	4e3f9f75d164b52911c8dd16	Electronics Store	Sun Jun 03 13:46:59 +0000 2012
219405	4e3f9f75d164b52911c8dd16	Electronics Store	Tue Jun 12 16:37:40 +0000 2012
30348	4e3f9f75d164b52911c8dd16	Electronics Store	Sun Jun 17 12:12:50 +0000 2012
70453	4e3f9f75d164b52911c8dd16	Electronics Store	Mon Jun 25 11:53:31 +0000 2012
80917	4e3f9f75d164b52911c8dd16	Electronics Store	Mon Aug 06 09:30:55 +0000 2012
252571	4e3f9f75d164b52911c8dd16	Electronics Store	Thu Nov 08 10:36:42 +0000 2012
134025	4e3f9f75d164b52911c8dd16	Electronics Store	Sat Dec 01 10:53:55 +0000 2012
114804	4e3f9f75d164b52911c8dd16	Electronics Store	Sat Dec 01 15:53:22 +0000 2012
229569	4e3f9f75d164b52911c8dd16	Electronics Store	Thu Mar 28 08:48:12 +0000 2013
7080	4e3f9f75d164b52911c8dd16	Electronics Store	Wed Apr 10 13:27:24 +0000 2013
171330	4e3f9f75d164b52911c8dd16	Electronics Store	Sun May 05 17:48:48 +0000 2013
94661	4f5b0055e4b0b28dd382bd6a	Home (private)	Tue Apr 03 18:18:56 +0000 2012
24891	4f7203cce4b01f4e1c6b02a9	Event Space	Tue Apr 03 18:22:08 +0000 2012
13890	4c0110f919d8c928f1348829	Italian Restaurant	Tue Apr 03 18:39:47 +0000 2012
85631	4c0110f919d8c928f1348829	Italian Restaurant	Sat Apr 14 20:55:32 +0000 2012
18074	4c0110f919d8c928f1348829	Italian Restaurant	Mon Jun 11 11:02:26 +0000 2012
13890	4c83775d51ada1cdeaff2510	Dessert Shop	Tue Apr 03 18:48:06 +0000 2012
94661	4c83775d51ada1cdeaff2510	Dessert Shop	Thu Apr 05 11:10:06 +0000 2012
85631	4c83775d51ada1cdeaff2510	Dessert Shop	Sat Apr 21 10:08:27 +0000 2012
183592	4c83775d51ada1cdeaff2510	Dessert Shop	Sun May 06 17:10:14 +0000 2012
131064	4c83775d51ada1cdeaff2510	Dessert Shop	Sun May 27 07:49:55 +0000 2012
203082	4c83775d51ada1cdeaff2510	Dessert Shop	Sun Sep 15 15:33:36 +0000 2013
13890	4bd3271041b9ef3bec62ffe5	Art Gallery	Tue Apr 03 18:48:47 +0000 2012
240711	4bd3271041b9ef3bec62ffe5	Art Gallery	Sun Apr 22 10:44:24 +0000 2012
168786	4bd3271041b9ef3bec62ffe5	Art Gallery	Sun May 13 10:38:30 +0000 2012
13890	4ef1d8ea30f8e7873b22dad2	Plaza	Tue Apr 03 18:50:05 +0000 2012
13890	4c0127b99cf52d7f57b914e7	Mall	Tue Apr 03 18:54:35 +0000 2012
240711	4c0127b99cf52d7f57b914e7	Mall	Sat Apr 07 13:14:45 +0000 2012
32304	4c0127b99cf52d7f57b914e7	Mall	Thu Apr 12 18:44:45 +0000 2012
1531	4c0127b99cf52d7f57b914e7	Mall	Sun May 13 15:45:19 +0000 2012
210696	4c0127b99cf52d7f57b914e7	Mall	Wed Jul 04 17:18:30 +0000 2012
44253	4c0127b99cf52d7f57b914e7	Mall	Sun Jul 29 15:39:47 +0000 2012
203082	4c0127b99cf52d7f57b914e7	Mall	Sat Feb 16 19:09:42 +0000 2013
13890	4e14afcffa7622d439eca0ab	Cocktail Bar	Tue Apr 03 18:58:31 +0000 2012
85631	4e14afcffa7622d439eca0ab	Cocktail Bar	Tue Apr 03 21:54:01 +0000 2012
168786	4e14afcffa7622d439eca0ab	Cocktail Bar	Thu May 10 17:40:32 +0000 2012
13890	4ce42537ef2db60c8d80c45b	Plaza	Tue Apr 03 19:03:26 +0000 2012
13890	4c94794ef7cfa1cd4f43b415	Pool	Tue Apr 03 19:04:36 +0000 2012
13890	4df07cd6d22d43368717b040	Plaza	Tue Apr 03 19:09:29 +0000 2012
13890	4db952220cb6ddfae431b8cb	Food Truck	Tue Apr 03 19:16:14 +0000 2012
13890	4c09292c02c9d13a65b973dd	Movie Theater	Tue Apr 03 19:34:23 +0000 2012
1531	4c09292c02c9d13a65b973dd	Movie Theater	Tue Apr 24 20:00:47 +0000 2012
44253	4c09292c02c9d13a65b973dd	Movie Theater	Tue Apr 24 20:05:13 +0000 2012
240711	4c09292c02c9d13a65b973dd	Movie Theater	Fri Apr 27 18:57:46 +0000 2012
32304	4c09292c02c9d13a65b973dd	Movie Theater	Thu May 10 18:02:09 +0000 2012
76392	4c09292c02c9d13a65b973dd	Movie Theater	Sat May 12 19:52:06 +0000 2012
13890	4dbbe02e0f2c919d3963fdce	Bed & Breakfast	Tue Apr 03 20:16:36 +0000 2012
5830	4dbbe02e0f2c919d3963fdce	Bed & Breakfast	Sun Apr 15 22:21:17 +0000 2012
13890	4bca005068f976b0e35b5e83	Concert Hall	Tue Apr 03 20:17:43 +0000 2012
27560	4bca005068f976b0e35b5e83	Concert Hall	Wed Apr 04 06:34:45 +0000 2012
137217	4bca005068f976b0e35b5e83	Concert Hall	Sun Apr 15 19:31:03 +0000 2012
240711	4bca005068f976b0e35b5e83	Concert Hall	Wed Apr 25 18:54:06 +0000 2012
130738	4bca005068f976b0e35b5e83	Concert Hall	Fri May 04 18:31:28 +0000 2012
24891	4bca005068f976b0e35b5e83	Concert Hall	Fri Jun 01 19:09:35 +0000 2012
122822	4bca005068f976b0e35b5e83	Concert Hall	Thu Oct 11 18:13:21 +0000 2012
236577	4bca005068f976b0e35b5e83	Concert Hall	Sun Nov 25 10:05:37 +0000 2012
160059	4bca005068f976b0e35b5e83	Concert Hall	Sun Dec 30 14:02:47 +0000 2012
230429	4bca005068f976b0e35b5e83	Concert Hall	Fri Mar 15 19:40:05 +0000 2013
250051	4bca005068f976b0e35b5e83	Concert Hall	Tue Apr 09 11:16:07 +0000 2013
13890	4d5ad2594d9a721ef5ee4f0e	Bakery	Tue Apr 03 20:20:06 +0000 2012
13890	4d571f1de7f1a1cd26ae0fa5	Pub	Tue Apr 03 20:21:15 +0000 2012
188363	4d571f1de7f1a1cd26ae0fa5	Pub	Wed Jul 11 18:56:10 +0000 2012
13890	4bf7b062b182c9b62220765a	Plaza	Tue Apr 03 20:21:59 +0000 2012
221531	4bf7b062b182c9b62220765a	Plaza	Thu Apr 12 11:27:36 +0000 2012
143589	4bf7b062b182c9b62220765a	Plaza	Sat Apr 14 20:21:07 +0000 2012
156193	4bf7b062b182c9b62220765a	Plaza	Sun Apr 22 13:25:20 +0000 2012
22158	4bf7b062b182c9b62220765a	Plaza	Tue May 29 08:06:35 +0000 2012
222512	4bf7b062b182c9b62220765a	Plaza	Tue Jun 05 08:17:42 +0000 2012
210696	4bf7b062b182c9b62220765a	Plaza	Wed Jun 06 12:44:08 +0000 2012
122642	4bf7b062b182c9b62220765a	Plaza	Wed Jun 27 15:30:23 +0000 2012
260044	4bf7b062b182c9b62220765a	Plaza	Sat Oct 27 14:04:07 +0000 2012
141693	4bf7b062b182c9b62220765a	Plaza	Mon Feb 18 08:15:34 +0000 2013
13890	4eda35a30cd6fe9493585e1a	Bed & Breakfast	Tue Apr 03 20:23:24 +0000 2012
13890	4e299c3e1f6e88a1546e1841	Plaza	Tue Apr 03 20:29:28 +0000 2012
13890	4bf3c4fd2d6295212d056058	Pizza Place	Tue Apr 03 20:48:43 +0000 2012
13890	4db46ac44df05e5aaadf6f23	Plaza	Tue Apr 03 20:52:10 +0000 2012
48857	4db46ac44df05e5aaadf6f23	Plaza	Tue Jul 03 06:35:28 +0000 2012
13890	4cdf3e0e41ed224bd84dde3c	Hotel	Tue Apr 03 20:57:35 +0000 2012
196550	4cdf3e0e41ed224bd84dde3c	Hotel	Fri Oct 19 02:43:40 +0000 2012
167494	4cdf3e0e41ed224bd84dde3c	Hotel	Tue Feb 05 16:44:26 +0000 2013
130738	4d59036dd0332c0fc25265da	Home (private)	Tue Apr 03 21:02:38 +0000 2012
44253	4f7226b5e4b06cab6bb0993b	Home (private)	Tue Apr 03 21:11:19 +0000 2012
1531	4f7226b5e4b06cab6bb0993b	Home (private)	Sat Apr 14 22:46:55 +0000 2012
44253	4e078de27d8b2a01805b8b66	Residential Building (Apartment / Condo)	Tue Apr 03 21:11:28 +0000 2012
1531	4e078de27d8b2a01805b8b66	Residential Building (Apartment / Condo)	Wed Apr 04 18:09:30 +0000 2012
203854	4dc2e01ffa7608e86fe4269f	American Restaurant	Tue Apr 03 21:19:53 +0000 2012
199048	4dc2e01ffa7608e86fe4269f	American Restaurant	Sun Apr 08 17:11:46 +0000 2012
186002	4dc2e01ffa7608e86fe4269f	American Restaurant	Sun Apr 08 21:07:33 +0000 2012
51162	4dc2e01ffa7608e86fe4269f	American Restaurant	Sun Apr 15 15:43:26 +0000 2012
252647	4dc2e01ffa7608e86fe4269f	American Restaurant	Tue Apr 17 21:40:46 +0000 2012
75646	4dc2e01ffa7608e86fe4269f	American Restaurant	Wed Apr 25 14:12:44 +0000 2012
