user_id	venue_id	type	utc
65826	4f43eb61e4b0ee9b22da6b27	Bus Line	Tue Apr 03 21:35:10 +0000 2012
218094	4f325587e4b0f6064c077684	Home (private)	Tue Apr 03 22:57:38 +0000 2012
84562	4f325587e4b0f6064c077684	Home (private)	Fri Nov 30 21:00:18 +0000 2012
65826	4f1ec30ce4b0b73eefeecf83	Home (private)	Wed Apr 04 00:13:15 +0000 2012
4190	4bbca65b4e069c74bbad9de3	Neighborhood	Wed Apr 04 05:09:55 +0000 2012
216236	4bbca65b4e069c74bbad9de3	Neighborhood	Sat Apr 28 10:58:17 +0000 2012
91976	4bbca65b4e069c74bbad9de3	Neighborhood	Sat May 05 12:36:32 +0000 2012
82607	4bbca65b4e069c74bbad9de3	Neighborhood	Sat May 19 10:25:50 +0000 2012
215620	4bbca65b4e069c74bbad9de3	Neighborhood	Fri May 25 16:07:51 +0000 2012
24936	4bbca65b4e069c74bbad9de3	Neighborhood	Fri May 25 20:03:35 +0000 2012
9127	4bbca65b4e069c74bbad9de3	Neighborhood	Wed Jun 27 11:20:52 +0000 2012
12687	4bbca65b4e069c74bbad9de3	Neighborhood	Sun Aug 19 20:38:43 +0000 2012
257451	4bbca65b4e069c74bbad9de3	Neighborhood	Sat Oct 27 10:57:45 +0000 2012
21909	4bbca65b4e069c74bbad9de3	Neighborhood	Sun Dec 30 22:07:06 +0000 2012
137682	4bbca65b4e069c74bbad9de3	Neighborhood	Wed Jan 09 09:54:15 +0000 2013
10384	4bbca65b4e069c74bbad9de3	Neighborhood	Thu Jan 31 09:52:59 +0000 2013
13677	4bbca65b4e069c74bbad9de3	Neighborhood	Thu Jan 31 12:13:18 +0000 2013
113485	4bbca65b4e069c74bbad9de3	Neighborhood	Tue Apr 02 10:48:37 +0000 2013
124961	4bbca65b4e069c74bbad9de3	Neighborhood	Tue Apr 16 14:11:32 +0000 2013
32217	4bbca65b4e069c74bbad9de3	Neighborhood	Tue May 07 21:41:49 +0000 2013
206672	4bbca65b4e069c74bbad9de3	Neighborhood	Tue Jul 02 07:33:38 +0000 2013
65903	4bbca65b4e069c74bbad9de3	Neighborhood	Tue Aug 27 16:47:48 +0000 2013
4190	4b745435f964a5209dd52de3	Bridge	Wed Apr 04 05:15:15 +0000 2012
65826	4b745435f964a5209dd52de3	Bridge	Fri Apr 06 13:39:21 +0000 2012
45068	4b745435f964a5209dd52de3	Bridge	Thu Apr 19 15:01:40 +0000 2012
82776	4b745435f964a5209dd52de3	Bridge	Mon May 07 05:46:42 +0000 2012
245474	4b745435f964a5209dd52de3	Bridge	Fri May 11 18:45:20 +0000 2012
